#,granter_id,grantee,grantee_id,fiscal_year,description,amount,start,end,url
1,225,Arab Community Center for Economic and Social Services,,2006,Endowment support for the Arab American National Museum and for organizational and staff development and community outreach,2000000,1/1/2007,12/31/2011,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
2,225,Children's Defense Fund,,2006,"Core support for the Southern Rural Black Women's Initiative for Economic and Social Justice, an advocacy project to empower black women in Mississippi, Alabama and Georgia",2500000,2/1/2007,7/31/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
3,225,Community Foundation for Southeast Michigan,,2006,Core support for the New Economy Initiative to leverage resources and catalyze positive economic and social change in the Detroit metropolitan area,10000000,7/15/2007,10/14/2009,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
4,225,"Demos: A Network for Ideas and Action, Ltd.",,2006,Planning grant to develop an updated national survey on household debt levels and credit usage patterns,27000,5/1/2007,12/31/2007,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
5,225,"Demos: A Network for Ideas and Action, Ltd.",,2006,For the Center for the Public Sector to conduct research and communications training to increase the public's understanding of the economy and the role of government,450000,1/1/2007,12/31/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
6,225,Detroit Institute of Arts,,2006,"Endowment support and for the ""Great Art, New Start"" campaign to renovate and expand the museum's galleries",2000000,10/1/2006,9/30/2011,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
7,225,Detroit Symphony Orchestra Hall,,2006,"For its summer programming, including the Eight Days in June Festival, the Concert of Colors and participation in the Detroit Festival of the Arts",400000,5/1/2007,10/31/2007,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
8,225,Grantmakers in the Arts,,2006,For a joint conference with Grantmakers for Education to explore the role of the arts in public education and approaches to funding,25000,6/1/2007,2/29/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
9,225,Independent Sector,,2006,For strategic planning for a new International Issues Program to assist members and philanthropic groups in international grant making,50000,10/1/2006,9/30/2008,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
10,225,Independent Sector,,2006,Contribution toward the annual dues of a foundation-supported philanthropic association,24650,1/1/2007,12/31/2007,https://fordsubjectgrants.azurewebsites.net/v1/grants/search-csv?&MinAmount=0&MaxAmount=30000000&FiscalYearStart=2006&FiscalYearEnd=2017&Search&SortBy=1&SortDirection=0&IsBuild=
